t_ms,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,imu_temp_c
6066,0.1375,-0.6183,0.6873,-5.92,8.0,1.21,21.84
6076,0.1387,-0.6173,0.6826,-6.23,7.47,1.34,21.83
6086,0.1364,-0.6224,0.6833,-6.35,7.34,1.47,21.85
6096,0.1343,-0.6156,0.6808,-6.29,7.62,1.28,21.83
6106,0.1361,-0.6189,0.6816,-6.23,7.98,1.24,21.84
6116,0.1342,-0.6204,0.6809,-6.23,8.7,1.1,21.84
6126,0.1353,-0.6212,0.6752,-6.11,8.99,0.99,21.82
6137,0.1329,-0.6177,0.6672,-6.18,9.18,0.81,21.84
6147,0.1328,-0.6185,0.6686,-6.31,9.04,0.56,21.84
6157,0.136,-0.6211,0.6732,-6.27,9.08,0.24,21.84
6167,0.1326,-0.6167,0.6659,-6.17,9.02,0.05,21.83
6177,0.1321,-0.6216,0.6764,-6.12,8.89,-0.09,21.83
6187,0.1294,-0.6221,0.6809,-6.15,8.85,-0.27,21.84
6197,0.1283,-0.616,0.6807,-6.05,8.78,-0.46,21.82
6207,0.1332,-0.6194,0.6799,-6.0,8.63,-0.56,21.83
6217,0.1418,-0.6224,0.6758,-6.09,8.81,-0.72,21.83
6227,0.147,-0.6252,0.6718,-5.89,8.92,-0.49,21.85
6237,0.1492,-0.6205,0.6705,-5.88,8.72,-0.17,21.86
6247,0.1455,-0.6227,0.6709,-6.2,8.66,0.12,21.82
6257,0.1414,-0.6226,0.6758,-6.41,8.41,0.34,21.82
6267,0.1398,-0.6228,0.6748,-6.34,8.11,0.55,21.85
6277,0.1306,-0.6229,0.6766,-6.31,7.98,0.41,21.82
6287,0.1298,-0.6189,0.6797,-6.37,7.76,0.08,21.84
6297,0.1328,-0.6221,0.6765,-6.29,8.24,-0.26,21.83
6307,0.1348,-0.6202,0.676,-6.14,8.63,-0.41,21.85
6317,0.136,-0.619,0.6727,-6.09,8.7,-0.44,21.83
