t_ms,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,imu_temp_c
5263,0.2328,-0.059,0.8922,-6.24,8.31,0.0,24.39
5273,0.2374,-0.0581,0.8807,-6.08,8.31,0.0,24.39
5283,0.2432,-0.054,0.8715,-6.18,7.51,0.06,24.39
5293,0.2386,-0.0538,0.8752,-6.11,7.28,0.06,24.4
5303,0.2365,-0.0497,0.8817,-6.11,7.4,0.11,24.39
5313,0.2318,-0.0463,0.8784,-6.2,7.88,0.0,24.42
5323,0.2295,-0.0452,0.8782,-6.14,8.2,-0.02,24.42
5333,0.2507,-0.0396,0.8682,-6.15,7.31,-0.08,24.42
5343,0.2438,-0.0387,0.8893,-6.15,6.41,-0.18,24.42
5353,0.2258,-0.0433,0.9094,-6.23,8.44,-0.12,24.4
5363,0.2418,-0.0486,0.8883,-6.26,8.76,-0.15,24.43
5373,0.249,-0.0573,0.8711,-6.14,6.73,-0.12,24.4
5383,0.2274,-0.0587,0.8964,-6.12,7.36,-0.12,24.4
5393,0.2224,-0.0544,0.8933,-6.12,9.53,-0.08,24.4
5403,0.2496,-0.0516,0.865,-6.15,7.85,0.0,24.42
5413,0.246,-0.0537,0.8727,-6.11,7.54,-0.11,24.4
5423,0.2327,-0.0498,0.8783,-6.18,7.4,-0.12,24.42
5433,0.229,-0.0458,0.8788,-6.18,8.11,-0.11,24.42
5443,0.2795,-0.0422,0.833,-6.12,6.27,-0.03,24.42
5453,0.2407,-0.0583,0.8771,-6.06,3.85,-0.06,24.42
5463,0.2181,-0.0415,0.8977,-6.17,8.55,-0.02,24.42
5473,0.2518,-0.0321,0.8708,-6.03,7.97,-0.08,24.42
5483,0.2245,-0.0343,0.8907,-6.23,6.05,-0.08,24.42
5493,0.2159,-0.0316,0.9128,-6.31,10.17,0.0,24.41
5503,0.274,-0.0393,0.8641,-6.21,7.27,-0.21,24.41
5513,0.2224,-0.0441,0.902,-6.12,6.08,-0.14,24.39
5524,0.199,-0.0526,0.9166,-6.18,9.13,-0.14,24.42
5534,0.235,-0.0514,0.8773,-6.11,9.21,-0.06,24.41
5544,0.2433,-0.0525,0.8563,-6.0,6.35,-0.08,24.43
