t_ms,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,imu_temp_c
6032,0.3303,-0.0275,0.8644,-6.67,7.98,0.06,29.44
6042,0.3307,-0.0286,0.8652,-6.7,7.92,-0.09,29.42
6052,0.327,-0.0242,0.8651,-6.73,8.02,0.02,29.44
6062,0.3274,-0.024,0.8636,-6.66,7.98,0.0,29.42
6072,0.3292,-0.0255,0.8643,-6.73,7.95,-0.02,29.42
6082,0.3301,-0.0245,0.8639,-6.69,7.94,0.0,29.42
6092,0.3268,-0.0231,0.8601,-6.76,7.98,-0.08,29.44
6102,0.3273,-0.0253,0.8655,-6.73,7.97,-0.08,29.4
6112,0.3282,-0.0251,0.8661,-6.72,8.08,-0.14,29.45
6122,0.3259,-0.0267,0.8656,-6.69,7.97,-0.05,29.42
6132,0.3265,-0.0271,0.8678,-6.69,8.02,-0.08,29.44
6142,0.3285,-0.0245,0.8618,-6.73,8.02,0.0,29.41
6152,0.3298,-0.0265,0.8641,-6.7,7.95,-0.08,29.42
6162,0.3254,-0.0254,0.8665,-6.64,7.95,-0.08,29.43
6172,0.3282,-0.0264,0.8633,-6.72,8.02,-0.09,29.45
6182,0.3326,-0.0277,0.8656,-6.72,7.92,-0.11,29.43
6192,0.3282,-0.0264,0.8655,-6.78,7.97,-0.02,29.45
6202,0.3284,-0.0271,0.8638,-6.69,7.97,-0.05,29.41
6212,0.3286,-0.0234,0.8647,-6.76,7.95,-0.06,29.42
6222,0.3306,-0.0248,0.8651,-6.67,7.95,-0.02,29.43
6232,0.3275,-0.0233,0.8644,-6.7,7.91,-0.05,29.41
6242,0.3275,-0.0245,0.8625,-6.7,7.91,-0.03,29.45
6252,0.3284,-0.0225,0.8671,-6.75,7.95,-0.11,29.45
6262,0.3292,-0.0216,0.8654,-6.66,7.97,-0.03,29.44
6272,0.3269,-0.0253,0.8636,-6.66,7.92,-0.05,29.43
6282,0.3289,-0.027,0.8643,-6.72,7.95,-0.05,29.45
6292,0.3264,-0.0255,0.865,-6.72,7.98,-0.08,29.43
6302,0.3298,-0.0276,0.8621,-6.75,7.91,-0.02,29.44
6312,0.3273,-0.0233,0.8671,-6.73,7.95,0.0,29.42
6322,0.3263,-0.0269,0.8645,-6.75,7.95,-0.03,29.44
6332,0.3257,-0.0234,0.8616,-6.72,8.02,-0.02,29.43
6342,0.3268,-0.0247,0.8619,-6.72,7.89,-0.09,29.44
6352,0.3278,-0.0249,0.8673,-6.72,7.92,-0.09,29.44
6362,0.3287,-0.0253,0.8629,-6.73,7.98,-0.05,29.42
6372,0.3267,-0.0251,0.8625,-6.63,8.08,0.0,29.46
6383,0.3274,-0.027,0.8682,-6.76,8.0,-0.08,29.44
